start.country,start.city,start.latitude,start.longitude,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters
USA,Grenada,33.769005,-89.808419,USA,Houston,29.760427,-95.369803,11-01-1863,-89.808419 33.769005 -89.808419 33.769005,7
USA,Grenada,33.769005,-89.808419,USA,Houston,29.760427,-95.369803,18-01-1863,-89.808419 33.769005 -89.808419 33.769005,7
USA,Vicksburg,32.352646,-90.877882,USA,Houston,29.760427,-95.369803,10-02-1863,-90.877882 32.352646 -90.877882 32.352646,14
USA,Vicksburg,32.352646,-90.877882,USA,Houston,29.760427,-95.369803,11-02-1863,-90.877882 32.352646 -90.877882 32.352646,14
USA,Vicksburg,32.352646,-90.877882,USA,Houston,29.760427,-95.369803,NA,-90.877882 32.352646 -90.877882 32.352646,14
USA,Vicksburg,32.352646,-90.877882,USA,Houston,29.760427,-95.369803,25-02-1863,-90.877882 32.352646 -90.877882 32.352646,14
USA,Vicksburg,32.352646,-90.877882,USA,Houston,29.760427,-95.369803,02-03-1863,-90.877882 32.352646 -90.877882 32.352646,14
USA,Yazoo,32.855133,-90.405647,USA,Houston,29.760427,-95.369803,08-03-1863,-90.405647 32.855133 -90.405647 32.855133,2
USA,Fort,33.530882,-90.233851,USA,Houston,29.760427,-95.369803,17-03-1863,-90.233851 33.530882 -90.233851 33.530882,4
USA,Fort,33.530882,-90.233851,USA,Houston,29.760427,-95.369803,23-03-1863,-90.233851 33.530882 -90.233851 33.530882,4
USA,Fort,33.530882,-90.233851,USA,Houston,29.760427,-95.369803,31-03-1863,-90.233851 33.530882 -90.233851 33.530882,4
USA,Fort,33.636191,-90.349637,USA,Houston,29.760427,-95.369803,26-04-1863,-90.349637 33.636191 -90.349637 33.636191,1
USA,Fort,33.530882,-90.233851,USA,Houston,29.760427,-95.369803,11-05-1863,-90.233851 33.530882 -90.233851 33.530882,4
USA,Yazoo,32.855133,-90.405647,USA,Houston,29.760427,-95.369803,05-06-1863,-90.405647 32.855133 -90.405647 32.855133,2
USA,near,32.352646,-90.877882,USA,Houston,29.760427,-95.369803,17-07-1863,-90.877882 32.352646 -90.877882 32.352646,14
USA,Vicksburg,32.352646,-90.877882,USA,Houston,29.760427,-95.369803,21-07-1863,-90.877882 32.352646 -90.877882 32.352646,14
USA,New,40.712784,-74.005941000000007,USA,Houston,29.760427,-95.369803,11-04-1865,-74.005941 40.712784 -74.005941 40.712784,260
